idDBLP,idScholar,DBLP_Match,Scholar_Match,Match_ID
journals/sigmod/EisenbergM02,wgK6p4mDSIMJ,2,63690,2_63690
conf/vldb/AmmannJR95,x-H7BqZ0Hw8J,3,21171,3_21171
journals/sigmod/Liu02,p0QHT_9_NSkJ,4,33894,4_33894
journals/sigmod/Hammer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D584455%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,5,4975,5_4975
conf/vldb/FerrandinaMZFM95,Ulg4PC4-auoJ,6,35618,6_35618
conf/vldb/SubietaKL95,gEFY87Ma0XUJ,7,38991,7_38991
journals/sigmod/BargaL02,QTzV3iNq2O8J,8,40746,8_40746
journals/sigmod/Ouksel02,url:http://portal.acm.org/citation.cfm%3Fid%3D565117.565131%26dl%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222,9,16603,9_16603
conf/vldb/MoserKK95,53hNU_r6-jgJ,10,35557,10_35557
conf/vldb/ChaudhuriGS95,77Sb5mlyASgJ,12,46614,12_46614
journals/sigmod/Kosch02,_avm808LQocJ,13,27627,13_27627
conf/vldb/LuTD95,qX-uYKXVk7EJ,14,49866,14_49866
conf/vldb/TreschPL95,1rPUqMFsS3AJ,16,3179,16_3179
journals/sigmod/Geller02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507355%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,17,32247,17_32247
conf/vldb/MehtaD95,xkvXoYlg2-cJ,18,35913,18_35913
journals/sigmod/CaplinskasEV02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D507367%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,19,41387,19_41387
conf/vldb/SrikantA95,Ve-JH2yNN0kJ,20,5058,20_5058
conf/vldb/HaasNSS95,x70Y3qaTL40J,21,14199,21_14199
journals/sigmod/Aberer02,url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D959078%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222,22,38804,22_38804
conf/vldb/FlodinR95,WmtiDGY_BdoJ,23,36538,23_36538
conf/vldb/HvasshovdTBH95,LVitsyrkl9AJ,25,32465,25_32465
journals/sigmod/Kim02,1PPb2Y8X7rAJ,26,16331,26_16331
conf/vldb/LuSL95,h7_7SZrI7M0J,27,49913,27_49913
journals/sigmod/ErdurD02,9OcrAEypDhMJ,28,60000,28_60000
conf/vldb/GallersdorferN95,U8jfPCxfXicJ,29,17753,29_17753
journals/sigmod/CiliaB02,Y1HVgTopekIJ,30,23455,30_23455
